Board,Arch,HBM-Freq,Krn-Freq,LUT-abs,LUT-rel,REG-abs,REG-rel,BRAM-abs,BRAM-rel,URAM-abs,URAM-rel,DSP-abs,DSP-rel,CVB-Height,Vec-Pack
u50,hbm1-bce-1078-204,372,280,176891,20.33,235900,13.53,236,17.56,32,5.00,305,5.13,1078,204
u50,hbm1-bce-41808-3932,354,215,182057,20.93,237519,13.62,236,17.56,224,35.00,305,5.13,41808,3932
u50,hbm1-bce-469-81,408,267,176877,20.33,235817,13.53,236,17.56,32,5.00,305,5.13,469,81
u50,hbm1-bce-4749-550,402,272,177715,20.43,237098,13.60,236,17.56,48,7.50,305,5.13,4749,550
u50,hbm1-be-1078-204,425,272,176443,20.28,235502,13.51,236,17.56,32,5.00,305,5.13,1078,204
u50,hbm1-be-41808-3932,372,224,181321,20.84,237267,13.61,236,17.56,224,35.00,305,5.13,41808,3932
u50,hbm1-be-469-81,439,289,176620,20.30,235388,13.50,236,17.56,32,5.00,305,5.13,469,81
u50,hbm1-be-4749-550,410,277,177552,20.41,236715,13.58,236,17.56,48,7.50,305,5.13,4749,550
u280,hbm2-bcf-21344-1966,450,198,257875,19.80,364864,13.99,306,15.18,256,26.67,593,6.57,21344,1966
u50,hbm2-bcf-21344-1966,293,188,256038,29.43,339847,19.49,282,20.98,256,40.00,593,9.98,21344,1966
u50,hbm2-bcf-289-41,331,120,251056,28.86,336646,19.31,282,20.98,64,10.00,593,9.98,289,41
u280,hbm2-bcf-3259-275,450,219,253953,19.49,362281,13.89,306,15.18,64,6.67,593,6.57,3259,275
u50,hbm2-bcf-3259-275,342,218,252021,28.97,336972,19.33,282,20.98,64,10.00,593,9.98,3259,275
u280,hbm2-bcf-683-102,450,236,253243,19.44,361848,13.88,306,15.18,64,6.67,593,6.57,683,102
u50,hbm2-bcf-683-102,348,230,251281,28.88,336978,19.33,282,20.98,64,10.00,593,9.98,683,102
u280,hbm2-bf-21344-1966,450,201,258001,19.80,364153,13.97,306,15.18,256,26.67,593,6.57,21344,1966
u50,hbm2-bf-21344-1966,297,203,255806,29.40,339161,19.45,282,20.98,256,40.00,593,9.98,21344,1966
u50,hbm2-bf-289-41,337,178,250298,28.77,336257,19.29,282,20.98,64,10.00,593,9.98,289,41
u50,hbm2-bf-3259-275,333,215,251669,28.93,336620,19.31,282,20.98,64,10.00,593,9.98,3259,275
u280,hbm2-bf-683-102,450,227,252597,19.39,361505,13.86,306,15.18,64,6.67,593,6.57,683,102
u50,hbm2-bf-683-102,293,160,251140,28.87,336354,19.29,282,20.98,64,10.00,593,9.98,683,102
u280,hbm4-bg-20395-983,326,94,454535,34.89,569563,21.84,398,19.74,384,40.00,1169,12.95,20395,983
